お知らせ,100%になれば開発に送付します。（即採用されるわけではありません、ビルド遅れの対応もたまにあります。）基本アップデート前にマスターを支給してもらっているので早い段階で作業が終わっていれば採用されています。）,,,
igmEffectOxygenStation,In-Game Message [igm],Your oxygen is refilling.,あなたの酸素が補充されます。,
igmEffectPoisonBite,In-Game Message [igm],"You have been bitten and now you are poisoned. Use an appropriate remedy (e.g., medikit or antidote) to cure the poisoning!",あなたは噛まれ、毒にむしばまれています。 毒を除去するために、適切な救済策(例えば、メディキットや解毒剤)を使用してください！,
igmEffectRadiationPoisoning,In-Game Message [igm],You have severe radiation poisoning. Get a cure or you will die,あなたは重度の放射線を浴びてしまった。至急、治療しなければ死ぬことになります。,
igmEffectRadiationSick1,In-Game Message [igm],You are feeling the effect of radiation (Stage 1).,あなたは放射線の影響を感じています(ステージ1)。,
igmEffectRadiationSick2,In-Game Message [igm],You are feeling the effect of radiation (Stage 2).,あなたは放射線の影響を感じています(ステージ2)。,
igmEffectStaminaBoost,In-Game Message [igm],You obtained a Stamina boost.,あなたはスタミナ・ブーストを得ました。,
igmEffectStaminaRecover,In-Game Message [igm],Your Stamina recovers.,スタミナ回復:,
igmEffectStimBoostDown,In-Game Message [igm],The Stamina boost is fading out and now you feel its side effect.,スタミナブーストが無くなり、あなたは副作用を感じます。,
igmEffectStimBoostUp,In-Game Message [igm],You obtained a Stamina boost.,あなたはスタミナにブーストを得ました。,
igmEmergencyBreakLowFuel,In-Game Message [igm],Initializing emergency break due to low fuel.,燃料が少ないため緊急停止をします。,
igmEnterCockpitGV,In-Game Message [igm],Press '{0}' to pilot the hover vessel,'{0}' を押してHVに乗り込みます。,
igmEnterCockpitMS,In-Game Message [igm],Press '{0}' to pilot the capital vessel,'{0}' を押してCVを操縦します,
igmEnterCockpitSS,In-Game Message [igm],Press '{0}' to pilot the small vessel,'{0}' を押してSVに乗り込みます。,
igmEnterCode,In-Game Message [igm],Enter code:,コード:,
igmEnterEntityGeneral,In-Game Message [igm],Press '{0}' to enter {1},'{0}' を押して{1}を入力します,
igmEnterPassengerSeat,In-Game Message [igm],Press '{0}' to enter as a passenger,'{0}' を押して乗客として搭乗します,
igmEnterPlayerBike,In-Game Message [igm],Press '{0}' to enter {2} or press {1} to pick it up,'{0}'を押して{2}を入力するか、{1}を押して,
igmEnterTurret,In-Game Message [igm],Press '{{0}}' to remote control {0},'{{0}}'を押し、{0} を直接操縦します。,
igmEnterWorldOnlyTogether,In-Game Message [igm],You can enter the planet only in a ship with all players onboard!,惑星に侵入できるのは、すべてのプレイヤーに提供されている船だけです！,
igmEntityAccess,In-Game Message [igm],Press '{0}' to access {1},'{0}' を押して{1} にアクセスします。,
igmEntityAccessDead,In-Game Message [igm],Press '{0}' to access {1}\n(will be removed in {2}),'{0}'を押して{1} \nにアクセスします({2}で削除されます),
igmExceededBases,In-Game Message [igm],In this version there is a limited number of bases you can create ({0}). Cannot create more for now,このバージョンでは、作成できるコアの数に限りがあります({0})。これ以上作成することはできません。,
igmFindAnAtm,In-Game Message [igm],Find an ATM to transfer the money to your account,お金をあなたの口座に振り替えるATMを見つけてください,
igmFlattenTerrainFirst,In-Game Message [igm],You need to flatten the terrain first,最初に地形を平たんにする必要があります,
igmFlyInside,In-Game Message [igm],There is a not docked ship in your ship. Flying not possible,あなたの船にはドッキングされていない船があります。 飛行不可,
igmFlyRestriction,In-Game Message [igm],Flying only possible if all players leave the docked ships,飛行するには、すべてのプレイヤーがドッキングされた船から離れている必要があります。,
igmForceStopGeneratorOff,In-Game Message [igm],Generator turned off while moving. Initializing forced stop of your ship,移動中にジェネレータがオフになりました。船を強制停止します。,
igmFreighterCanNotBeControlled,In-Game Message [igm],This freighter can not be controlled,この貨物船は制御できません,
igmFreighterLastWarning,In-Game Message [igm],Only 5min left until self destruction of freighter,貨物船の自爆までわずか5分,
igmFreighterSelfDestruction,In-Game Message [igm],Freighter self desctruction sequence has been activated. Freighter will explode in 30min,貨物船の自爆機能が有効になりました。 貨物船は30分で爆発する,
igmFreighterSpotted,In-Game Message [igm],Freighter has been spotted that carries valuable goods,貴重品を運ぶ貨物船が発見されました,
igmGameSavedNoBackup,In-Game Message [igm],Game saved. Backup failed!,ゲームを保存:バックアップ失敗,
igmGameSavedWithBackup,In-Game Message [igm],Game saved. Backup created.,ゲームを保存:バックアップ作成,
igmHealBrokenLeg,In-Game Message [igm],Your broken leg has healed.,負傷した足が治りました,
igmIncomingAsteroid,In-Game Message [igm],Meteorite incoming! Watch out - it may contain new resources!,隕石を確認！警戒してください- 隕石には新しいリソースを含んでいるものもあります。,
igmInstanceTimeout,In-Game Message [igm],Instance will close in {0} seconds,インスタンスは{0}秒後に終了します,
igmInvalidItemForContainer,In-Game Message [igm],Cannot put this item here,ここにはこのアイテムを置くことができない,
igmInventoryFull,In-Game Message [igm],Cannot pick up - inventory full,拾えません - インベントリがいっぱいです,
igmItemAccessMany,In-Game Message [igm],Press '{0}' to pick up {2}x {1}\n(will be removed in {3}),'{0}' を押して{1} のx {2} を拾います。,
igmItemAccessSingle,In-Game Message [igm],Press '{0}' to pick up {1}\n(will be removed in {3}),'{0}' を押して{1} を拾います。,
igmItemNoContribToBp,In-Game Message [igm],Item doesn't contribute to Blueprint production,工作にはそのアイテムは使えません,
igmJustBoughtNItems,In-Game Message [igm],Just bought {0}x {1} for {2} Cr,{2} Crの{0} x {1}を購入した,
igmJustSoldNItems,In-Game Message [igm],Just sold {0}x {1} for {2} Cr,{2} Crの{0} x {1}を販売した,
igmLandingEscapePod,In-Game Message [igm],You are approaching planet {0}. Steer your Escape Pod to a safe spot and watch out for abandoned outposts in your area!,あなたは惑星{0}の表面に近づいています。脱出ポッドを操縦して安全な場所に着陸させてください！,
igmLeaveEscapePod,In-Game Message [igm],Press '{0}' to leave the escape pod,'{0}' を押して脱出ポッドから抜け出します,
igmLeaveWorldOnlyAsPassenger,In-Game Message [igm],You can leave the planet only on a passenger seat!,あなただけの助手席に地球を残すことができます！,
igmLeaveWorldOnlyTogether,In-Game Message [igm],You can leave the world only in a ship with all players onboard!,すべてのプレイヤーに提供されている船の中でしか世界から去れません！,
igmMinutes,In-Game Message [igm],{0} minutes,{0}分,
igmMissionCompleted,In-Game Message [igm],Congratulations! You completed the mission '{0}',おめでとう！ あなたはミッション '{0}'を完了しました,
igmNeedArmorForO2Station,In-Game Message [igm],You need to be wearing Armor to refill O2,あなたは酸素を補充するためにアーマーを着用する必要があります,
igmNo2ndCore,In-Game Message [igm],You cannot place a second core,一つの構造体に二つのコアは設置できません。,
igmNoCore,In-Game Message [igm],No core present!,コアが存在しない！,
igmNoExternalOxygen,In-Game Message [igm],No oxygen! Wearing your helmet may help.,酸素がありません、ヘルメットをかぶることで助かることができます。,
igmNoO2InTanks,In-Game Message [igm],There is no O2 in the tanks,タンクに酸素がありません,
igmNoPrefabInBpFactory,In-Game Message [igm],No Blueprint in Factory,工場内に設計図はありません,
igmNoSpaceToPlace,In-Game Message [igm],No empty space to place block,ブロックを置く場所がありません。,
igmO2AlreadyFull,In-Game Message [igm],O2 already full,酸素は満タンです,
igmO2Fill,In-Game Message [igm],Press '{0}' to use the O2 station,'{0}' を押してO2 ステーションを利用します。,
igmO2NeedsWater,In-Game Message [igm],Place it into the water,水の中にそれを置きます,
igmOpenDoor,In-Game Message [igm],Press '{{0}}' to open {0},'{{0}}'を押して{0}を開く,
igmOtherCompletedAction,In-Game Message [igm],{0} successfully completed '{1}',{0}は正常に完了しました '{1}',
igmOtherFactionBaseNearby,In-Game Message [igm],Cannot build or drill nearby an enemy base,敵の基地が近すぎて設置することができません,
igmPassSeatNotActive,In-Game Message [igm],Passenger seat not activated,乗客席はアクティブになっていません。,
igmPickupPlantMany,In-Game Message [igm],Press '{{0}}' to pick up {1}x {0},'{{0}}' を押して {1}x {0} を拾います。,
igmPickupPlantSingle,In-Game Message [igm],Press '{{0}}' to pick up {0},'{{0}}' を押して {0} を拾います。,
igmPickupPlayerBike,In-Game Message [igm],Press '{0}' to pick up {1},{1}を拾うために '{0}'を押す,
igmPlaceBadResource,In-Game Message [igm],Bad resource/deposit configuration,リソース/デポジットの設定が間違ています。,
igmPlaceCannotMine,In-Game Message [igm],'{0}' cannot be auto mined,{0} 'は自動マイニングできません,
igmPlaceConnectTo,In-Game Message [igm],This device cannot be connected to a base. Press '{0}' to switch this mode off,このデバイスはベースに接続できません。 '{0}'を押してこのモードをオフにします,
igmPlaceNearRes,In-Game Message [igm],Auto Mining Device can only be placed near a resource,自動掘削装置は、鉱脈の付近にのみ設置することができます。,
igmPlaceOnlyOne,In-Game Message [igm],A player may only place one Auto Mining Device near a resource,プレーヤーはリソースの近くに1つの自動掘削装置しか設置できません,
igmPlaceTooSmall,In-Game Message [igm],Resource deposit is too small for auto mining,自動掘削装置を設置するには埋蔵量が多い鉱脈である必要があります,
igmPlanetVesselIsDead,In-Game Message [igm],AI Planet vessel is destroyed and will despawn,AIプラネット船が破壊され消滅します。,
igmPlanetVesselRegeration,In-Game Message [igm],AI Planet vessel is regenerating,AIのプラネット船が再生しています,
igmPlanetVesselRepairThrusters,In-Game Message [igm],AI Planet vessel is repairing its thrusters,AIのプラネット船がスラスタを修復しています,
igmPlayerDroneDistance,In-Game Message [igm],You are losing contact to your drone,あなたはドローンとの交信を失おうとしています。,
igmPlayerDroneLost,In-Game Message [igm],Contact lost to your drone,あなたのドローンは交信を失いました,
igmPoiDiscovered,In-Game Message [igm],{0} discovered a new POI:\n{1},{0} は新たな POIを発見しました:\n{1},
igmPressToEnterCode,In-Game Message [igm],Press '{0}' to enter lock code,ロックコードを入力するには '{0}'を押してください,
igmPressToSwitch,In-Game Message [igm],Press '{{0}}' to switch {0},'{{0}}' を押すと{0}が切り替わります。,
igmRemoveBlockFromMap,In-Game Message [igm],{0} is gone. Removing it from map,{0}は消えました。 マップから削除する,
igmRepairLimit,In-Game Message [igm],Repair limit reached,修理限度に達しました,
igmRepairWouldDamage,In-Game Message [igm],It does not make sense to repair now. Wait until item is more damaged.,今修理するのは意味がありません。 アイテムがより損傷するまで待ちます。,
igmResourceDiscovered,In-Game Message [igm],{0} discovered a new resource:\n{1},{0} は新しい資源を発見しました:\n{1},
igmResourceNearby,In-Game Message [igm],Cannot create nearby a resource deposit,資源に近すぎて作成できません。,
igmRunOnlyWithJetpackOff,In-Game Message [igm],You can run only when jetpack is off,ジェットパックがオフのときにのみ実行することができます,
igmScrShot,In-Game Message [igm],Screenshot '{0}' saved,スクリーンショット '{0}' を保存。,
igmSeconds,In-Game Message [igm],{0} seconds,{0} 秒,
igmSectorLeaving,In-Game Message [igm],You need a warp drive to travel to a location outside your sector,セクターの外へ行くためにはワープドライブが必要です。,
igmSpawnColliderOverlaps,In-Game Message [igm],There is another object in the spawn area,スポーンエリア内に別のオブジェクトがあります,
igmSpawnNearOtherBase,In-Game Message [igm],Cannot spawn Player Drone near an enemy base,プレイヤードローンを敵基地付近に発動できない,
igmStopToExit,In-Game Message [igm],Please stop the ship to exit the cockpit,コックピットから出るために船を静止してください,
igmSwitchLightOff,In-Game Message [igm],Press '{0}' to switch light off,'{0}' を押して消灯を切り替えます,
igmSwitchLightOn,In-Game Message [igm],Press '{0}' to switch light on,'{0}' を押してライトを切り替えます,
igmSwitchOnPower,In-Game Message [igm],Switch on the main power first,まず主電源のスイッチをオンにします。,
igmTroopsTransportClose,In-Game Message [igm],Warning! Enemy troop transport is approaching,警告！敵の輸送船が近づいています,
igmTurretOnlyBA,In-Game Message [igm],You need to access this turret using the control panel either from the cockpit or a passenger seat,タレットにアクセスするには、コックピットまたは助手席のコントロールパネルから行う必要があります,
igmUseATM,In-Game Message [igm],Press '{0}' to use the Automated Teller Machine,'{0}'を押してATMを使用する,
igmUseBlock,In-Game Message [igm],Press '{{0}}' to use {0},{0}を使用するには、 '{{0}}'を押してください,
igmUseConstructor,In-Game Message [igm],Press '{0}' to use the Constructor,'{0}' を押してコンストラクタを使用します,
igmUseFoodProcessor,In-Game Message [igm],Press '{0}' to use the Food processor,'{0}' を押してフードプロセッサーを使用します。,
igmUseTradingStation,In-Game Message [igm],Press '{0}' to use the Trading Station,トレーディングステーションを使用するには、 '{0}'を押してください,
igmWaitReloadToExit,In-Game Message [igm],Please wait for reloading to finish,リロードが完了するまで待ってください。,
igmWarnDecompress,In-Game Message [igm],Decompressing '{0}'! Oxygen will be removed!,{0}が減圧しています！ 酸素が取り除かれます！,
igmWarpCrystals,In-Game Message [igm],You have only {0} {1} but need {2} to warp,持っているのは {0} {1} ですが、ワープするためには {2} が必要です。,
igmWarpInSpace,In-Game Message [igm],You can only warp in space,ワープは宇宙でのみ可能です,
igmWarpJumpArrivedAlready,In-Game Message [igm],Arrived at target already,すでにターゲットに到着しています。,
igmWarpJumpFlyFaster,In-Game Message [igm],You need to fly faster to activate warp jump,ワープジャンプするには速度を上げる必要があります,
igmWarpJumpHeadTarget,In-Game Message [igm],You need to fly towards the target to activate warp jump,ワープジャンプするには目標に向かって飛行している必要があります,
igmWarpJumpNoTarget,In-Game Message [igm],No warp jump target locked,ワープできません、ジャンプ地点が登録されていません,
igmWarpJumpNotAvail,In-Game Message [igm],You need a warp drive to jump,ジャンプするにはワープドライブが必要です,
igmWarpJumpOnlyInCockpit,In-Game Message [igm],Warp jump only possible in cockpit of a capital ship or small vessel,キャピタルまたは小型機の操縦席からワープジャンプが可能,
igmWarpJumpPassengers,In-Game Message [igm],All players have to be in passenger seats,すべての搭乗員が着座していなければならない,
igmWeaponNotShootableHere,In-Game Message [igm],You cannot shoot this weapon on a planet,惑星上でこの武器を発射することはできません,
igmWeaponNotShootableUnderWater,In-Game Message [igm],You cannot shoot this weapon under water,水中でこの武器を撃つことはできません。,
igmWrongCode,In-Game Message [igm],Wrong code,不正なコード,
igmWrongFaction,In-Game Message [igm],No access possible: wrong faction!,アクセスすることができません:ファクションが違います！,
igmWrongFactionOrPrivate,In-Game Message [igm],Wrong faction or private!,ファクションが違うか個人所有の品です！,
igmYouCompletedAction,In-Game Message [igm],You successfully completed '{0}','{0}'を正常に完了しました。,
inpAction1,Input Config (inp),Primary Action,プライマリーアクション,
inpAction2,Input Config (inp),Secondary Action,セカンダリーアクション,
inpAutoBreak,Input Config (inp),Auto Brake,オートブレーキ,
inpAutoRotate,Input Config (inp),Auto Rotate,姿勢制御,
inpBack,Input Config (inp),Back,後退,
inpBlockRotAxis-,Input Config (inp),Rotation Axis -,回転軸の変更 -,
inpBlockRotAxis+,Input Config (inp),Rotation Axis +,回転軸の変更+,
inpBlueprintLib,Input Config (inp),Blueprint Library,設計図,
inpBuildTools,Input Config (inp),Build Tools,ビルドツール,
inpConsole,Input Config (inp),Console,コンソール,
inpControlPanel,Input Config (inp),Control Panel,コントロールパネル,
inpCreateBlueprint,Input Config (inp),Create Blueprint,設計図の作成,
inpCreativeMenu,Input Config (inp),Creative Menu,クリエイティブメニュー,
inpDown,Input Config (inp),Down,下降,
inpDropItem,Input Config (inp),Drop Item,アイテムを捨てる,
inpFactionChat,Input Config (inp),Faction Chat,ファクションチャット,
inpFactionMenu,Input Config (inp),Faction Menu,ファクションメニュー,
inpFlashlight,Input Config (inp),Lights,基地・艦船のライト,
inpForward,Input Config (inp),Forward,前進,
inpGlobalChat,Input Config (inp),Global Chat,グローバルチャット,
inpGodMode,Input Config (inp),Fly Mode,ゴッドモード時の飛行,
inpHelmet,Input Config (inp),Helmet,ヘルメット脱着,
inpHudMode,Input Config (inp),HUD Display Mode,HUD表示,
inpInventory,Input Config (inp),Inventory,イベントリー,
inpJetpack,Input Config (inp),Jetpack,ジェットパック,
inpJumpUp,Input Config (inp),Jump / Up,ジャンプ / 上昇,
inpLeft,Input Config (inp),Left,左移動,
inpLookAround,Input Config (inp),Look Around,自由視点モード,
inpLowerBlueprint,Input Config (inp),Lower Blueprint,設置地点の下降,
inpMainPowerSwitch,Input Config (inp),Main Power Switch,主電源スイッチ,
inpMap,Input Config (inp),Map,マップ,
inpOpenUse,Input Config (inp),Open / Use,開く / 使用,
inpPause,Input Config (inp),Pause,一時停止,
inpPDA,Input Config (inp),PDA,PDA,
inpPersonalLight,Input Config (inp),Player Shoulder Light,フラッシュライト,
inpPlayerDrone,Input Config (inp),Player Drone,プレイヤードローン,
inpRaiseBlueprint,Input Config (inp),Raise Blueprint,設置地点の上昇,
inpReload,Input Config (inp),Reload,リロード,
inpRight,Input Config (inp),Right,右移動,
inpRollLeft,Input Config (inp),Roll Left,左ロール,
inpRollRight,Input Config (inp),Roll Right,右ロール,
inpRotateBlock-,Input Config (inp),Rotate Block -,ブロックの回転 -,
inpRotateBlock+,Input Config (inp),Rotate Block +,ブロックの回転+,
inpRotateDown,Input Config (inp),Rotate Down,機首下げ,
inpRotateLeft,Input Config (inp),Rotate Left,左転回,
inpRotateRight,Input Config (inp),Rotate Right,右転回,
inpRotateUp,Input Config (inp),Rotate Up,機首上げ,
inpRun,Input Config (inp),Run,走る,
inpSaveScreenshot,Input Config (inp),Save Screenshot,スクリーンショットを保存,
inpScoreBoard,Input Config (inp),Score Board,スコアボード,
inpShowHideFps,Input Config (inp),Show / Hide FPS,FPSの表示/非表示,
inpSwitchView,Input Config (inp),Switch View,視点切り替え,
inpTechTreeMenu,Input Config (inp),Tech Tree Menu,テックツリーメニュー,
inpWarpDrive,Input Config (inp),Warp Drive,ワープ,
AreYouSure,Inventory Window,Are you sure you want to do this?,本当によろしいですか？,
Available Unlock Points:,Inventory Window,Available Unlock Points:,所有アンロックポイント:,
Character Stats,Inventory Window,CHARACTER STATS,キャラクター詳細,
Kill,Inventory Window,Suicide,自殺,
Level,Inventory Window,Level,レベル,
invBlueprints,Inventory Window [inv],Blueprints,設計図,
invPDA,Inventory Window [inv],PDA,PDA,
ivwOrigin,Inventory Window [ivw],Origin:,カテゴリー:,
lblAbbrCredits,Label [lbl],CR,クレジット,
lblAccepted,Label [lbl],accepted,受け入れられた,
lblAmount,Label [lbl],Amount,量,
lblAmount:,Label [lbl],Amount:,量:,
lblATM,Label [lbl],ATM,ATM,
lblBalance,Label [lbl],Balance,所持金,
lblBalance:,Label [lbl],Balance:,所持金:,
lblBgColor,Label [lbl],Background Color,背景色,
lblBuy,Label [lbl],Buy,購入,
lblBuyableItems,Label [lbl],Buyable Items,購入可能商品,
lblBuyCount:,Label [lbl],Buy Count:,購入数:,
lblBuyer,Label [lbl],Buyer,購入者,
lblChapterDesc,Label [lbl],Mission details,ミッションの詳細,
lblChooseStartPlanet,Label [lbl],Choose Starting Planet,開始する惑星を選択,
lblConnectToBA,Label [lbl],Connect to {0},{0}に接続する,
lblConnectToBANone,Label [lbl],Connect not available,接続できません,
lblCreateBuyOffer,Label [lbl],Create Buy Offer,購入オファーを作成,
lblCreateSellOffer,Label [lbl],Create Sell Offer,売り出しを作成する,
lblDeposit:,Label [lbl],Deposit:,換金:,
lblDisabled,Label [lbl],Disabled,無効,
lblDisplayText,Label [lbl],Display Text,テキストの表示,
lblDuration,Label [lbl],Duration,期間,
lblDuration:,Label [lbl],Duration (h:m):,継続時間(h:m):,
lblEnterLockCode,Label [lbl],Please enter lock code (0000 = public),ロックコード(0000 = public)を入力してください,
lblEnterTextHere,Label [lbl],Enter text here...,ここにテキストを入力...,
lblExpired,Label [lbl],expired/aborted,期限切れ/中止,
lblFeeNPercent:,Label [lbl],Fee ({0}%):,手数料({0}％):,
lblFontSize,Label [lbl],Font size,フォントサイズ,
lblFor,Label [lbl],for,ために,
lblHideStandardServers,Label [lbl],Hide standard servers,標準サーバーを非表示にする,
lblHostedBy:,Label [lbl],Hosted by:,ホスト:,
lblInventory,Label [lbl],Inventory,イベントリ,
lblItem,Label [lbl],Item,アイテム,
lblLeader,Label [lbl],Leader,リーダー,
lblLoadingGame,Label [lbl],Loading...,読み込んでいます...,
lblLocation,Label [lbl],Location,ロケーション,
lblLockCode:,Label [lbl],Lock code:,ロックコード:,
lblMarketplace,Label [lbl],Marketplace,マーケット,
lblMultiplayer,Label [lbl],Multiplayer,マルチプレイヤー,
lblNever,Label [lbl],Never,有り,
lblNextProductInSeconds:,Label [lbl],Next product [s]:,次の製品[s]：,
lblNoAbortTime,Label [lbl],(No-Abort Time: {0}),(中断しない時間:{0}),
lblOfferDetails,Label [lbl],Offer Details,オファーの詳細,
lblOffNoEnergy,Label [lbl],Off (No energy source),オフ(エネルギー枯渇),
lblOffNoMaterial,Label [lbl],Off (No source material),オフ(資材が不足),
lblOffNoStorage,Label [lbl],Off (Storage full),オフ(容量超過),
"lblOpenOnExceptions,Open on Exceptions,Öffnen bei Exceptions",Label [lbl],Open on Exceptions,例外時に開く,
lblPlayerNeeds_LEVEL_ToActivate_CHAPTYPE,Label [lbl],Player needs level {0} to be allowed to activate {1}!,{1}をアクティブにするにはレベル{0}が必要です！,
lblPPI,Label [lbl],Unit Price,単価,
lblPreambleHeading,Label [lbl],Message received!,メッセージを受け取った！,
lblPrice,Label [lbl],Price,価格,
lblPrice:,Label [lbl],Price:,価格:,
lblProducing:,Label [lbl],Producing:,プロデュース:,
lblRegistry,Label [lbl],Registry,レジストリ,
lblRemainTime:,Label [lbl],Remaining Time:,残り時間:,
lblRevenue:,Label [lbl],Revenue:,収入:,
lblRunning,Label [lbl],running,ランニング,
lblSale,Label [lbl],Sale,販売,
lblSellCount:,Label [lbl],Sell Count:,売り数:,
lblSince,Label [lbl],Since,以来,
lblSinglePlayer,Label [lbl],Single Player,シングルプレーヤー,
lblStatus,Label [lbl],Status,状態,
lblSupporter,Label [lbl],Supporter,サポーター,
lblTeleporting,Label [lbl],Teleporting...,転送中…,
lblTextColor,Label [lbl],Text Color,テキストの色,
lblToPay:,Label [lbl],To Pay:,支払う:,
lblTotal:,Label [lbl],Total:,合計:,
lblTotalProdTime:,Label [lbl],Total Production Time:,総生産時間:,
lblTradingStation,Label [lbl],Trading Station,トレーディング・ステーション,
lblTradingStation:,Label [lbl],Trading Station:,トレーディング・ステーション:,
lblTrustedServer,Label [lbl],Verified Server,検証済みサーバー,
lblVendor,Label [lbl],Vendor,ベンダー,
lblWaitingForServerApproval,Label [lbl],Waiting for server approval...,サーバーの承認待ち中...,
lblWidthdraw:,Label [lbl],Withdraw:,預金:,
lblYourTasks:,Label [lbl],Tasks:,タスク:,
Source Quality:,Label [lbl],Source Quality:,,
lscPreAlphaBody,Loading Screen [lsc],"- A whole solar system with more planets (in later development, a whole procedurally generated galaxy)\n- Bigger planets and much more distance between planets\n- No multiplayer restrictions any more, dedicated servers and full PvP support\n- No restricte",より多くの惑星を持つ太陽系全体(後の開発では、手順的に生成された銀河)\n-大きな惑星と惑星間の距離\n-マルチプレーヤーの制限はありません。専用サーバーと完全なPvPサポート\n-制限なし,
lscPreAlphaHeader,Loading Screen [lsc],This version is still in Pre-Alpha and has some limitations!,このバージョンには、プレアルファにまだあるいくつかの制限があります！,
lscPreAlphaLine1,Loading Screen [lsc],What to expect from the Alpha:,アルファから何を期待します:,
lscPreAlphaLink,Loading Screen [lsc],"For more information about the limitations and our roadmap, please visit our website http://empyriongame.com/roadmap",制限および当社のロードマップの詳細については、当社のウェブサイトhttp://empyriongame.com/roadmapをご覧ください。,
lpsAlienWorld,LoadScreen Pic Subtitle [lps],Alien worlds are full of hidden dangers,エイリアンの世界は潜在的な危険に満ちている。,
lpsAlienWorld2,LoadScreen Pic Subtitle [lps],Your armor protects you against environmental hazards,適切な装備を整えたarmorは危険な自然環境からあなたを守ります,
lpsArachnids,LoadScreen Pic Subtitle [lps],Beware of dangerous Arachnids on desert planets,砂漠の惑星では危険なクモに気を付けよう。,
lpsAsteroidField,LoadScreen Pic Subtitle [lps],It pays out to capture a freighter and loot its cargo,小惑星帯を通過する際は細心の注意を払おう。,
lpsAsteroidsSathium,LoadScreen Pic Subtitle [lps],Be careful when you traverse an asteroid field,小惑星はサティウム鉱石を供給します,
lpsBaseAttack,LoadScreen Pic Subtitle [lps],Prepare your base against deadly base attack drones,危険な「ベースアタックドローン」を迎撃する為に基地を整備しよう。,
lpsBaseInWater,LoadScreen Pic Subtitle [lps],A base in the water makes oxygen production easier,水辺の基地は酸素生成に便利です。,
lpsBaseOnMountain,LoadScreen Pic Subtitle [lps],Watch out for outposts that can contain useful equipment,山の高いところに前哨基地を設置することで、よりよい防衛をすることができます,
lpsBeWellPrepared,LoadScreen Pic Subtitle [lps],Be well prepared for the next adventure,次の冒険のためによく準備しましょう,
lpsCivilians,LoadScreen Pic Subtitle [lps],Visit trading stations and the aliens that hang around there,取引所を訪れ異星人たちと接触しましょう,
lpsComfortableHome,LoadScreen Pic Subtitle [lps],Make yourself comfortable at home,快適な居住空間を作ろう！,
lpsDangerousCreatures,LoadScreen Pic Subtitle [lps],Be prepared to engage some creepy creatures,どこにいようとクリーチャーに付きまとわれてもいい準備をしましょう,
lpsDrillModule,LoadScreen Pic Subtitle [lps],Use your drill module for mining on a planet,惑星上での掘削にドリルモジュールを使用する,
lpsDropship,LoadScreen Pic Subtitle [lps],Use a dropship to deploy troops on a planet,惑星上では兵隊を配備するためにドロップシップが使われる。,
lpsEdiblePlants,LoadScreen Pic Subtitle [lps],Find out which plants are edible,食用の植物を見つけましょう,
lpsErestrumOnIce,LoadScreen Pic Subtitle [lps],Snow planets are the home of the dangerous Ice Golems,ネオジム鉱石は氷の惑星上で見つけることができます,
lpsEscapePod,LoadScreen Pic Subtitle [lps],Don't forget to take your belongings from the escape pod,エスケープポッドからあなたの持ち物を取ることを忘れないでください,
lpsExploreVessel,LoadScreen Pic Subtitle [lps],Use your small vessel for fast exploration,迅速な探査のためにはSmall Vessel が必要です。,
lpsFancyHome,LoadScreen Pic Subtitle [lps],Build yourself a fancy home,どんな家を作ろうとあなたの勝手です。,
lpsFindGoodSpot,LoadScreen Pic Subtitle [lps],Find a good spot for your base,拠点建設のための良い場所を探してください。,
lpsForestPlanet,LoadScreen Pic Subtitle [lps],Forest planets are the home of dangerous spiders,森の惑星は危険なウッドウォーカーズの棲家です,
lpsHelmetAtmo,LoadScreen Pic Subtitle [lps],Take off your helmet in breathable atmospheres to save oxygen,呼吸のできる大気がある時は、ヘルメットを脱いで酸素を温存しましょう,
lpsHelmetForDiving,LoadScreen Pic Subtitle [lps],For diving you need to wear your helmet,潜水する際にはヘルメットを着用する必要があります,
lpsHoverVessel,LoadScreen Pic Subtitle [lps],Hover vessels can serve as heavy combat tanks,ホバーは重戦車として使用できます,
lpsLootPOI,LoadScreen Pic Subtitle [lps],Be sure to search for valuable loot in POIs,POIを探索して貴重なアイテムを収集しよう。,
lpsMechanoid,LoadScreen Pic Subtitle [lps],Mechanoid robots can be deadly opponents,メカノイドロボットは致命的な相手になることがあります,
lpsMotorbike,LoadScreen Pic Subtitle [lps],Your motorbike is useful for fast exploration,あなたのバイクは迅速な探査に便利です,
lpsNightVision,LoadScreen Pic Subtitle [lps],Use your night vision goggles to see the enemy before he sees you,敵に見つかる前に、暗視ゴーグルで敵を見つけよう。,
lpsNonHostileCreatures,LoadScreen Pic Subtitle [lps],Not all creatures are hostile,すべてのクリーチャーが敵対的というわけではありません,
lpsOrbitalStation,LoadScreen Pic Subtitle [lps],Visit interesting orbital stations,興味深い軌道衛星を訪問しよう。,
lpsOutside,LoadScreen Pic Subtitle [lps],"Before you venture outside, make sure that the coast is clear",外に出る前に、海岸の位置を明確にしておこう。,
lpsOverseers,LoadScreen Pic Subtitle [lps],Alien bugs can spread dangerous diseases,虫型エイリアンが危険な病気を広げることがある。,
lpsOxygenSupply,LoadScreen Pic Subtitle [lps],Always be sure to have enough oxygen supply,十分な酸素供給を確保してください,
lpsPassenger,LoadScreen Pic Subtitle [lps],Use passenger seats to give your buddy a ride,助手席を使用してバディに乗る,
